hidden_size, embedding_size, train_loss, train_accuracy, test_loss, test_accuracy, time
16, 16, 0.170237443673, 0.976763485131, 0.62523873051, 0.676666666667, 3.40757350922
16, 32, 0.12362482967, 0.984647302558, 0.658426151276, 0.663333337307, 3.419348526
16, 64, 0.0888436306994, 0.99626555982, 0.821528212229, 0.581666661104, 3.34636964798
16, 128, 0.0537994258894, 1.0, 0.721250042915, 0.633333331744, 3.40598864555
16, 256, 0.0464673494031, 0.999585062241, 0.661609551112, 0.646666667461, 3.56088900566
16, 512, 0.0275555508428, 1.0, 0.622029050191, 0.694999995232, 3.96501536369
32, 16, 0.12334300744, 0.975518671457, 0.797896330357, 0.578333331744, 3.37802157402
32, 32, 0.0590258963592, 0.994605809129, 0.708747024139, 0.633333328565, 3.35580453873
32, 64, 0.0389205459876, 0.997095435289, 0.730369690259, 0.638333334923, 3.35967693329
32, 128, 0.0223474062941, 0.999585062241, 0.646104100148, 0.665000000795, 3.33204460144
32, 256, 0.0121069083299, 1.0, 0.940086535613, 0.598333327373, 3.4779229641
32, 512, 0.0076956969025, 1.0, 0.686116251548, 0.695000003974, 4.3184735775
64, 16, 0.103361251687, 0.974273858971, 0.895438996951, 0.57, 3.38518543243
64, 32, 0.034518147753, 0.997510373444, 0.959879193306, 0.574999999603, 3.40633168221
64, 64, 0.0247264867726, 0.997095435685, 0.886525375048, 0.591666669846, 3.63486623764
64, 128, 0.00869465601762, 0.999585062241, 1.06050794284, 0.575000007153, 3.4432533741
64, 256, 0.00399588519877, 1.0, 1.09642611901, 0.58666667223, 3.70126004219
64, 512, 0.00244199792541, 1.0, 0.931562937101, 0.616666663488, 4.61360883713
128, 16, 0.105970259178, 0.969709542876, 0.989751876195, 0.544999996424, 3.70340719223
128, 32, 0.039397198611, 0.99668049753, 1.15823392709, 0.521666665872, 3.99792761803
128, 64, 0.0192252022125, 0.997095435685, 1.16699623823, 0.559999997616, 3.89722700119
128, 128, 0.0089970823702, 1.0, 1.25612548669, 0.533333326976, 3.98843259811
128, 256, 0.00236703872399, 1.0, 1.16554545403, 0.568333325386, 4.51930155754
128, 512, 0.00170919220806, 1.0, 1.20613024235, 0.581666667064, 4.98088097572
256, 16, 0.206625470674, 0.911203319403, 1.03058324814, 0.551666666667, 4.39233183861
256, 32, 0.128586874386, 0.961825725449, 1.05839208682, 0.535000004371, 4.75131802559
256, 64, 0.119903928709, 0.962655601957, 0.879398798943, 0.590000006358, 5.06927781105
256, 128, 0.126107705155, 0.965145227474, 1.16471961498, 0.54666667064, 5.37156748772
256, 256, 0.0540545421888, 0.986721991355, 1.21475482066, 0.581666661104, 5.97121582031
256, 512, 0.0113859827781, 0.999170124481, 1.36004996618, 0.560000000795, 7.36995954514
512, 16, 0.516691347499, 0.72199170075, 0.807149986426, 0.506666666667, 8.52164216042
512, 32, 0.677617922809, 0.592946058289, 0.72652501901, 0.523333334525, 8.86246285439
512, 64, 0.660917228139, 0.647717842052, 0.698906203111, 0.531666665077, 9.14899282455
512, 128, 0.593313835345, 0.63319502092, 0.700728882154, 0.559999996821, 8.11333742142
512, 256, 0.561881041871, 0.70290456481, 0.85365237236, 0.511666665077, 9.75348544121
512, 512, 0.243784817104, 0.87759336065, 1.03352855921, 0.563333331347, 11.8779173851
